number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_l2_leaf_reg,params_learning_rate,params_min_data_in_leaf,params_random_strength,state,rmse
85,0.07291269063830456,2026-07-27 05:14:08.415167,2026-07-27 05:14:14.617963,0 days 00:00:06.202796,0.714570902689459,254,5,3.9668434481555264,0.014573346096538658,2,0.9415552084856618,COMPLETE,0.27002350015934645
19,0.07291575311589686,2026-07-27 05:05:04.341029,2026-07-27 05:05:10.604595,0 days 00:00:06.263566,0.7541287162811731,254,5,4.019516238907441,0.017984837568182394,17,1.4947224537212518,COMPLETE,0.27002917086103284
40,0.07292276686712101,2026-07-27 05:07:11.554740,2026-07-27 05:07:16.205846,0 days 00:00:04.651106,0.89448596963675,254,6,2.4432980083335214,0.026389353852928496,22,1.1445315128658922,COMPLETE,0.2700421575738148
41,0.0729255485254898,2026-07-27 05:07:16.215825,2026-07-27 05:07:22.776826,0 days 00:00:06.561001,0.7203569017920428,254,5,4.619510627383493,0.01712380962458338,19,1.8446693615147287,COMPLETE,0.2700473079397197
70,0.0729279006640176,2026-07-27 05:11:48.407957,2026-07-27 05:11:53.560185,0 days 00:00:05.152228,0.6694768629328014,254,5,5.3620689779869055,0.017167035151533623,3,0.3742424829132528,COMPLETE,0.27005166295362376
13,0.07293160640813157,2026-07-27 05:03:49.209704,2026-07-27 05:04:06.350204,0 days 00:00:17.140500,0.2773802130182471,254,7,9.916142840612547,0.011370507096225179,40,2.6339855375485217,COMPLETE,0.2700585240427185
100,0.07293830094602911,2026-07-27 05:16:29.665941,2026-07-27 05:16:45.226963,0 days 00:00:15.561022,0.8781446334454368,254,7,2.593964075276021,0.011137529269874291,8,1.6910182293522074,COMPLETE,0.2700709183641014
180,0.07295349247388287,2026-07-27 05:33:52.583112,2026-07-27 05:33:57.216679,0 days 00:00:04.633567,0.8485659771311549,254,6,2.4244430277353626,0.035916290094673974,37,1.8107610189881849,COMPLETE,0.27009904197142737
34,0.07297168477854425,2026-07-27 05:06:41.368120,2026-07-27 05:06:44.177338,0 days 00:00:02.809218,0.6391411272167248,254,4,2.897555765388925,0.03410501517226656,15,0.32811524696281164,COMPLETE,0.2701327169717586
15,0.07298310736272873,2026-07-27 05:04:19.747585,2026-07-27 05:04:25.189393,0 days 00:00:05.441808,0.265863560044564,254,5,1.0707656439714648,0.019906719549039133,36,1.3629110497925812,COMPLETE,0.27015385868561775
14,0.07298404932553763,2026-07-27 05:04:06.359104,2026-07-27 05:04:19.737462,0 days 00:00:13.378358,0.0006534135781382511,254,7,3.265546729916505,0.014339829125433216,17,2.808286424606338,COMPLETE,0.27015560206210354
158,0.07298470592260942,2026-07-27 05:28:39.820082,2026-07-27 05:28:43.361206,0 days 00:00:03.541124,0.9195110733934537,254,6,1.5641988912098566,0.04727361349858474,32,1.8906248884202106,COMPLETE,0.2701568172795375
16,0.07298983844278209,2026-07-27 05:04:25.198858,2026-07-27 05:04:40.048973,0 days 00:00:14.850115,0.5138008742477249,254,7,7.281705875094964,0.013369440470007174,4,3.391198044739335,COMPLETE,0.27016631626237586
38,0.07299324454593023,2026-07-27 05:07:04.007240,2026-07-27 05:07:06.738515,0 days 00:00:02.731275,0.805769578685828,254,5,2.9403848246718707,0.04070799966405379,20,0.4754864271341478,COMPLETE,0.27017261990425717
66,0.07299915721420852,2026-07-27 05:11:09.119525,2026-07-27 05:11:25.487636,0 days 00:00:16.368111,0.46937350594738037,254,8,2.569355001691012,0.015338570489873736,3,1.4337389507751988,COMPLETE,0.2701835620725445
79,0.0730037011554155,2026-07-27 05:13:19.420741,2026-07-27 05:13:27.369164,0 days 00:00:07.948423,0.9218449567220808,254,4,6.711858466692551,0.015486194520658433,33,9.362948607756527,COMPLETE,0.27019197093069863
17,0.0730196175371671,2026-07-27 05:04:40.060248,2026-07-27 05:04:47.460653,0 days 00:00:07.400405,0.28202868567147377,254,6,2.115660327445,0.023825070588118342,29,7.287656467440589,COMPLETE,0.2702214231647208
11,0.07303682750243844,2026-07-27 05:03:07.715874,2026-07-27 05:03:28.510781,0 days 00:00:20.794907,0.42796884485091996,254,8,9.633334585464466,0.010119790237272597,43,0.10606025016885524,COMPLETE,0.27025326547969486
12,0.07304205258184301,2026-07-27 05:03:28.521022,2026-07-27 05:03:49.198421,0 days 00:00:20.677399,0.42936256408776186,254,8,8.729696442293527,0.010159875366127846,50,0.10663271768527423,COMPLETE,0.27026293231193027
